F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_acceleration,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,id,user
19576,13407,32983,46,0.4064821271564139,145603.0509777387,0.0,4.9677615057756945,17.411401842210367,0.1447520184544406,0.19722902025306738,-14.645325385182813,24.072339650986176,589.8331460674158,2614,28841,0.09063486009500364,0.0024884663620787038,u00024s00001_hw00007,24.0
14008,18529,32537,40,0.5694747518210038,244388.61889112467,-0.04210056331425949,7.0400639201643616,12.517029116922092,0.04013239553165081,0.060483615526839,-69.12166877601268,86.62555428787834,405.9222629222629,3891,32255,0.12063246008370795,0.002672101857865603,u00025s00001_hw00007,25.0
8427,12837,21264,45,0.603696388261851,124437.50594232531,-0.1142043045446588,6.227459353540575,12.350328426600564,0.042900302114803626,0.2530525021141697,-72.83617043430753,55.05501132571596,446.05882352941177,1760,31815,0.05531981769605532,0.002820844023746824,u00026s00001_hw00007,26.0
7891,15740,23631,36,0.6660742245355676,140407.29723577198,-0.09617146700941914,5.602477586036451,11.827837343504022,0.04426070038910506,0.24085654001587667,-80.20630717008517,61.54318510269131,389.4521988527725,1997,33956,0.05881140299210744,0.0025323365590348866,u00027s00001_hw00007,27.0
14777,18935,33712,57,0.5616694352159468,183318.65941718657,-0.06873703063048442,5.771698190307598,11.428571428571429,0.043938161106590726,0.18688823412063874,-73.06560517147068,38.078008685812435,469.6779324055666,2046,34694,0.05897273303741281,0.00304982115970791,u00028s00001_hw00007,28.0
10126,17196,27322,37,0.62938291486714,138457.71046241658,-0.026396453118419316,4.48783076775406,11.415170714841702,0.0800711743772242,0.24760179797108905,-62.316741873047306,67.52123758752109,409.6039387308534,2677,34380,0.0778650378126818,0.002080210062659237,u00029s00001_hw00007,29.0
9806,11340,21146,45,0.5362716352974558,144681.08023323273,-0.0892857142857143,5.384438164035399,17.73449664963814,0.0639614855570839,0.2133137880177097,-56.27453297459377,98.43988216474202,389.5036691127418,1874,30980,0.0604906391220142,0.002894320293583526,u00030s00001_hw00007,30.0
10334,14306,24640,37,0.5806006493506494,149061.06652904226,-0.02441081843972226,5.703561365050608,14.613034896029555,0.0853462157809984,0.19640395107983466,-53.5442264686704,65.1230432055318,465.59,4559,29225,0.15599657827202737,0.002793076800434475,u00031s00001_hw00007,31.0
16127,17239,33366,45,0.5166636696037883,196212.04269027343,-0.023362601671554906,4.94501011121312,11.539578078513719,0.08151447661469934,0.027255335598208672,-78.3567583181195,89.1797989481877,405.16113537117906,3637,34622,0.1050488128935359,0.0022707206768400766,u00032s00001_hw00007,32.0
14913,15598,30511,45,0.5112254596702829,205453.87891034517,-0.053571428571428575,7.090927301841417,13.88501752578119,0.058214109521460285,0.038568071387492985,-60.94290045701809,91.71732411857928,625.976833976834,5255,32149,0.16345765031571743,0.0019995709437816644,u00033s00001_hw00007,33.0
13301,17918,31219,41,0.5739453537909607,191563.78807949607,-0.1204608543340833,4.881406047441659,10.801631489521156,0.06965811965811966,0.16646141024046854,-68.14976624269292,61.42980285995178,381.05963880722385,2201,31902,0.06899253965268635,0.003281385144005757,u00034s00001_hw00007,34.0
17607,20779,38386,26,0.5413171468764654,214394.31041366837,0.0,5.354761375426089,15.261072886248499,0.08007312614259597,0.09969235847371352,-62.53813291679114,103.62858351700089,302.5784136182543,4365,32012,0.1363551168311883,0.0020175358671797217,u00035s00001_hw00007,35.0
18645,15946,34591,55,0.4609869619265127,134179.46681940032,-0.022225556312631678,4.371901037821038,9.471103852079816,0.07468477206595538,0.234476989802684,-38.30395509864686,156.01253294681305,391.6291922531885,3167,31570,0.10031675641431739,0.0025379906261635363,u00036s00001_hw00007,36.0
8610,13153,21763,32,0.6043743969121904,153067.32912261045,-0.03490409967380481,6.285929883027182,20.593809397353954,0.05419580419580419,0.22889411036911658,-71.38093213659782,75.10251064774286,283.8266590389016,2810,35004,0.08027653982402011,0.0018242781648889544,u00037s00001_hw00007,37.0
11330,13764,25094,30,0.5484976488403602,156702.1952668953,-0.016009524780522533,6.786842011554115,21.560301418408013,0.05169538632573652,0.22101175258389205,-75.54724459673862,44.095683743001985,444.94751230180424,2595,35513,0.07307183284994227,0.001927793391212031,u00038s00001_hw00007,38.0
11878,13016,24894,48,0.5228569133124448,114380.64157222556,-0.05660996871202961,5.325885166500612,10.263329556712806,0.04116945107398568,0.2834220325880778,-51.52879168058744,164.50292024551467,412.3555684454756,1594,32428,0.04915505119032935,0.0027608683162684004,u00039s00001_hw00007,39.0
5717,12817,18534,35,0.6915398726664509,155869.7150321121,-0.1522227628720092,8.139410298049853,15.97673479704321,0.0407673860911271,0.20160712854853088,-79.51670916448602,53.54427862876171,349.0293599530241,2463,31491,0.07821282271125084,0.0025931558466905907,u00040s00001_hw00007,40.0
13057,16050,29107,37,0.551413749269935,222220.19131676224,-0.05143338948891296,5.287357965436968,13.784954414095514,0.05916030534351145,0.07556766679861679,-67.2176367358787,138.26756657210845,249.90248476324425,4744,29931,0.15849787845377702,0.002485650740742883,u00041s00001_hw00007,41.0
15603,17754,33357,31,0.5322421081032467,106885.20142212803,-0.008950189872015568,3.0246381324197538,7.306606576378691,0.09149484536082474,0.26575254970560686,-56.303503137277936,149.16091585940822,406.12335735481133,1369,28894,0.04738007890911608,0.0033090406039314483,u00042s00001_hw00007,42.0
7436,13564,21000,29,0.6459047619047619,163006.7739333118,-0.08718469069881207,5.7362439550276445,16.682043010215843,0.0580608793686584,0.1072008381866239,-71.00039434074175,161.30383995334608,270.6095396561287,4880,28804,0.16942091376197752,0.0017450613303436264,u00043s00001_hw00007,43.0
5898,12934,18832,17,0.6868096856414614,106128.76888676177,-0.04853776986700531,4.400834800214104,12.856984117184759,0.06341749853200235,0.3036305442267205,-73.52280097626014,134.8233941079197,654.7279069767442,3531,32274,0.10940695296523517,0.0014352617610370012,u00044s00001_hw00007,44.0
86061,16137,102198,30,0.15789937180766747,168171.00566479174,0.0,4.914900812834375,13.940981608611418,0.05106382978723404,0.06305269614166983,-62.93746210561643,119.85500323535183,289.0111888111888,4731,30813,0.15353909064355953,0.0018996576131316092,u00045s00001_hw00007,45.0
13753,15604,29357,49,0.531525700854992,213538.72447482854,-0.08374812634287698,6.364762688555847,11.420919594433352,0.043478260869565216,0.03816345957511184,-40.58633035318501,10.233314324769578,478.6179450072359,3581,31807,0.11258527996981796,0.002922375360334067,v00001s00001_hw00007,
8668,18339,27007,44,0.6790461732143518,182776.19121416114,-0.07046420368389375,6.932148630996943,15.011548368770265,0.061447811447811446,0.18431399600930576,-46.50337353541383,26.243973540384374,425.4961017644645,2553,34079,0.07491417001672585,0.0026770606865550153,v00002s00001_hw00007,
11343,14022,25365,45,0.5528089887640449,151294.64550499993,-0.1071428571428572,6.160273810339328,11.246481779094529,0.046162402669632924,0.20152979672856688,-71.03706162664056,56.2674761207983,496.9641888225719,2150,31075,0.06918744971842317,0.0037408372793289943,v00003s00001_hw00007,
17039,17738,34777,53,0.5100497455214653,150235.7759748589,-0.022011438001654504,3.6443449342783127,10.268273683751032,0.07283035324901875,0.2134155470192666,-5.815662010925806,14.72766253866042,266.44757033248084,1471,32643,0.04506326011702356,0.0037525138534537433,v00004s00001_hw00007,
10824,13300,24124,41,0.5513181893549992,113797.49006651813,-0.06288285380720104,5.8269310104033325,10.236545537199117,0.05211349160393746,0.23561300240722385,-71.23900286350091,91.63366354749581,241.7799773755656,1859,26788,0.06939674481110945,0.0035400714303407345,v00005s00001_hw00007,
16560,15400,31960,49,0.4818523153942428,137004.10582762852,-0.025263961821948788,4.375,11.170024632605989,0.06613226452905811,0.22227912532182234,-52.02717196597486,38.033193502166554,472.40537897310514,1637,30446,0.053767325757078106,0.0031943200868490614,v00006s00001_hw00007,
12496,19056,31552,37,0.6039553752535497,226336.18573328364,-0.07142857142857129,5.8739006844420665,10.35235192436739,0.055105348460291734,0.04534989362042638,-69.32510172490296,33.62488441597667,432.3968063872255,3206,33989,0.09432463444055429,0.003288125791821079,v00007s00001_hw00007,
11469,14931,26400,46,0.5655681818181818,140110.1466168082,-0.031051606189708036,5.0,10.359079246957108,0.04503105590062112,0.2229951068255878,-61.56205548919822,73.62225198718133,451.3488372093023,1721,31318,0.05495242352640654,0.0033703943202506356,v00008s00001_hw00007,
26264,27089,53353,58,0.5077315240005248,161807.5469670991,0.0,3.377314021526574,8.33064269613987,0.12344632768361583,0.1967564250098276,-52.803499733654114,130.9462332818808,493.3307392996109,2406,31872,0.0754894578313253,0.0027430714013967523,v00009s00001_hw00007,
12168,15693,27861,54,0.5632604716270055,140456.72954115906,-0.09255984398280193,4.5,9.918415202740734,0.046282619399310686,0.22362668702377092,-71.50404553822973,63.02265989690873,334.05227817745805,2298,31390,0.07320802803440586,0.002805466891736939,v00010s00001_hw00007,
8124,16475,24599,45,0.6697426724663604,122971.88174734218,-0.06106287007161004,4.75,10.424816314718708,0.03144063819802909,0.23145851657594396,-82.6814218661173,55.573158800598314,241.5988051470588,1929,28622,0.06739570959401858,0.0031459628239799893,v00011s00001_hw00007,
14089,13315,27404,47,0.4858779740183915,215807.0224956018,-0.0714285714285714,7.8154739237656745,16.308069321657914,0.04299825682742592,0.0058426615193059,-68.52966906862991,100.39270793073227,565.1736425339367,4114,31273,0.1315511783327471,0.0025546927506388175,v00012s00001_hw00007,
6092,16339,22431,38,0.7284115732691364,158844.37136569488,-0.08387474836685094,5.824248260750421,10.834719023815788,0.05060918462980318,0.03291822847938478,-87.52977289447178,84.70085507059392,441.07826887661145,2706,30685,0.0881864102981913,0.002864348275792739,v00013s00001_hw00007,
18969,19760,38729,47,0.5102119858503964,131285.2739198761,-0.016941633471595274,4.125,7.474349109790199,0.05107212475633528,0.23990677675116676,-51.46633278965544,69.76300794782725,375.0987748851455,1710,31520,0.054251269035533,0.003134471106523677,v00014s00001_hw00007,
8089,18031,26120,47,0.6903139356814701,229135.97606237984,-0.090566489194841,8.0,16.0,0.031077054065559814,0.045863535464815544,-55.188284834944895,56.85636817042728,439.1652754590985,4643,33689,0.13781946629463623,0.0021377553078271955,v00015s00001_hw00007,
8221,17774,25995,36,0.6837468743989229,159053.23396411893,-0.03571428571428581,5.011697715526588,12.089478971159025,0.07081174438687392,0.2116338110676442,-70.25006241022135,130.3844500789229,522.9085884353741,2496,33646,0.07418415264816025,0.0025646422671157095,v00016s00001_hw00007,
6856,12918,19774,29,0.6532820875897644,193064.28427065985,-0.11017157909581954,9.770011514834566,22.714285714285715,0.026081802015411975,0.18132614136947783,-41.989169490357874,36.891634337675185,378.61946386946386,3389,35098,0.09655820844492563,0.0020132458676770677,v00017s00001_hw00007,
9904,15324,25228,45,0.6074203266212145,133782.35921578878,-0.05862397281368259,5.428571428571429,11.890934149932782,0.04969879518072289,0.2096671953866564,-66.40343959651976,90.17379999858846,373.686794305351,3309,28321,0.11683909466473641,0.001892677275669813,v00018s00001_hw00007,
11173,14132,25305,46,0.5584667061845485,146984.60682064254,-0.07487541029005307,5.703561365050608,15.655220677119573,0.0622610595303113,0.21818058637405388,-70.00216268260222,50.716962919296456,397.4421949920085,2383,32088,0.07426452256295188,0.002341369025725007,v00019s00001_hw00007,
7986,15251,23237,22,0.6563239660885657,199984.55942156355,-0.07794518302903053,6.858630790947316,14.659638684747849,0.045409181636726546,0.03558637422382207,-83.50210166088155,84.03042002899713,350.1026653504442,4272,32249,0.13246922385190238,0.002325652131767942,v00020s00001_hw00007,
9690,13415,23105,58,0.5806102575200173,133285.20558009285,-0.10714285714285676,6.180945043652553,10.080910633816606,0.03130434782608696,0.2572909595804135,-75.41243533405124,69.17043824789268,596.973079080202,2147,34425,0.06236746550472041,0.002738250386332211,v00021s00001_hw00007,
6969,14518,21487,33,0.6756643551915111,161077.6628044491,-0.10788210989736369,6.490377492873585,17.55189828671212,0.04067617538298996,0.2065180748086605,-76.16807038784678,52.984338077616464,333.6464174454829,3178,34187,0.09295931201918858,0.0021217995110562847,v00022s00001_hw00007,
4737,9304,14041,27,0.6626308667473827,100074.90260769805,-0.0809394577938829,7.831176655109484,16.481633180569325,0.030578512396694214,0.3062131316793879,-99.03839986466924,96.19519186628324,568.8455941794665,1458,30642,0.0475817505384766,0.002719280466077603,v00023s00001_hw00007,
5972,14528,20500,21,0.7086829268292683,224606.94239940075,-0.1107163803279147,10.5,24.549363776444885,0.044002095337873234,0.1568532595697096,-57.568163102385206,43.50810788625434,445.1476683937824,4715,35361,0.13333898928197732,0.001650207621069796,v00024s00001_hw00007,
11129,16000,27129,52,0.5897747797559807,162869.78694252443,-0.12304274894205891,6.213180930590148,10.50950849578676,0.044358727097396335,0.07595593683292262,-60.31609344384628,81.61702707350608,588.6110065851364,3761,28865,0.1302962064784341,0.0023249416791039173,v00025s00001_hw00007,
6852,15638,22490,38,0.6953312583370387,155558.52076500055,-0.11103173530208288,6.578848683470383,12.142925419688183,0.030988686669945892,0.22434905232145272,-74.94963709894525,83.41351646025565,461.6335103814582,2546,35518,0.07168196407455375,0.0028361991234737783,v00026s00001_hw00007,
16944,18610,35554,45,0.5234291500253136,249469.6298591496,-0.125,7.160001745809843,16.08350904991252,0.06716110424392253,0.02602069858873624,-60.398960755900646,36.15042293947945,460.5141585760518,4260,34038,0.125154239379517,0.002657329359570473,v00027s00001_hw00007,
12824,13569,26393,51,0.5141135907248134,221687.4484912433,-0.10509718625944053,8.375932783875477,20.058167828195494,0.05311250713877784,0.032488967940090235,-43.044370437747205,19.36035891848141,527.2524972253052,4452,31322,0.1421365174637635,0.002177437755677349,v00028s00001_hw00007,
7461,17937,25398,32,0.7062367115520907,171497.05222555363,-0.11493440672447619,5.76048541015351,12.88678519631623,0.06271331058020478,0.19525179849688423,-49.892498372233995,46.697757039293066,615.3560606060606,2163,33757,0.06407559913499422,0.0026926633291756274,v00029s00001_hw00007,
14044,13698,27742,56,0.4937639679907721,144318.3489073518,-0.07429505391681346,6.681364007446383,12.005272150667931,0.03800340328984685,0.2375606374048918,-63.00589260420566,151.8272278547287,479.8411214953271,1974,34387,0.05740541483700236,0.0028415128454281,v00030s00001_hw00007,
10287,13328,23615,48,0.5643870421342367,126556.27226128528,-0.07557508562505943,5.853684584837499,15.010070149856809,0.03948896631823461,0.23226423391717674,-67.77519526629405,93.88239421728112,320.754802259887,2259,29410,0.07681060863651819,0.00230625264375682,v00031s00001_hw00007,
24238,16543,40781,57,0.4056545940511513,151543.19481532928,-0.029606226302738792,5.052782220373974,10.876291569515573,0.029439252336448597,0.21762433415124813,-13.992589946092782,57.55846071695104,464.340919435594,1998,32977,0.06058768232404403,0.002945857782262938,v00032s00001_hw00007,
10368,17189,27557,36,0.6237616576550423,169024.60161004442,-0.08928571428571419,5.458563764155086,10.856860828995226,0.04817127564674398,0.207155645921857,-51.040883616723846,37.970168658595654,405.0338015803336,1830,35012,0.05226779389923455,0.003394635645833829,v00033s00001_hw00007,
10778,13092,23870,55,0.548470883954755,104587.84377822402,-0.05441764363461932,5.067903721604864,10.447136546130768,0.05463182897862233,0.23608460357935146,-67.08611724934416,79.98088931403642,373.9953996549741,1646,24702,0.0666342806250506,0.0034772927100067295,v00034s00001_hw00007,
10660,11231,21891,37,0.5130418893609245,139952.74709524435,-0.07142857142857117,7.2913143743856255,17.258197005872887,0.024742268041237112,0.23600145549395493,-86.33014451847168,64.82401465533628,292.04624664879356,2756,33026,0.08344940350027251,0.001838377792832752,v00035s00001_hw00007,
10618,16413,27031,38,0.6071917428138064,120252.75672433861,-0.06095894332610863,4.433176730790121,10.583776213701837,0.044309701492537316,0.21317512892309565,-73.4877730104109,44.99615268270777,214.57928505957838,1823,25608,0.07118869103405186,0.0033460828938414807,v00036s00001_hw00007,
15698,10492,26190,60,0.40061092019854905,109668.84741438548,-0.08241736169154557,5.25,10.787288493594938,0.03552532123960695,0.2522375047945466,-46.54023523356104,74.54557405392326,447.3405639913232,1887,27986,0.06742657042807118,0.003167504139486064,v00037s00001_hw00007,
8683,13190,21873,33,0.6030265624285649,112891.74826566587,-0.0021200840392539,5.024937810560445,10.361119561255055,0.0401863715783343,0.2489751069710488,-74.59770405625507,48.61020730968873,393.86514285714287,1413,28101,0.05028290808156293,0.003422819414937247,v00038s00001_hw00007,
8711,18526,27237,37,0.68017769945295,192940.95714980375,-0.08627296507824056,6.893157839481119,15.497996119774053,0.03216494845360825,0.16210159617281142,-82.63436759436371,107.24999857730751,464.4557270511779,3554,31183,0.11397235673283519,0.001986345442308557,v00039s00001_hw00007,
7025,13243,20268,45,0.6533945135188475,142806.4737433134,-0.053571428571428575,7.428571428571429,13.994896630388704,0.03965014577259475,0.230410379023936,-76.86903666312735,83.24145068023388,528.4505681818182,1790,33117,0.05405078962466407,0.0027397047883842523,v00040s00001_hw00007,
7109,12571,19680,37,0.638770325203252,110277.63733088023,-0.09402231454759491,5.428571428571429,14.201318523144572,0.054500918554807105,0.2626914012082563,-64.94811944690923,101.16448507611723,398.7826347305389,2431,28966,0.08392598218601119,0.0019124879507622008,v00041s00001_hw00007,
3965,13535,17500,26,0.7734285714285715,141071.51186136206,-0.12108661317402403,7.154267486852701,17.187672637403267,0.030474040632054177,0.2355784084954059,-95.59271262881232,75.8303982145091,406.32313681868743,2838,34016,0.08343132643461901,0.00201352529926835,v00042s00001_hw00007,
8648,12673,21321,45,0.5943905070118662,140832.83339983842,-0.07291636284974112,7.0022314315304754,16.930207882244275,0.06349206349206349,0.1919763931126302,-74.58369919019475,70.39687753154601,490.4349376114082,2455,27036,0.0908048527888741,0.0029066556503649123,v00043s00001_hw00007,
10337,16441,26778,51,0.6139741578908059,138633.99328689015,-0.09386053501593405,6.040226252148749,12.370695643594265,0.059322033898305086,0.2302566932910027,-63.35607327659014,85.4896384535654,634.1567816091954,2358,32017,0.07364837430115251,0.0026063736528216487,v00044s00001_hw00007,
13503,16052,29555,49,0.543122991033666,134237.31565421156,-0.022530174709173956,4.823445345393685,12.319921952250624,0.0801728276524244,0.2467234165118859,-60.54154208817738,104.04813204584954,754.0877110694183,1973,33459,0.058967691801906814,0.002691655658577016,v00045s00001_hw00007,
76292,20468,96760,62,0.2115336916081025,186167.49825568445,0.0,3.1943828249996997,7.917168908247858,0.11232566905390125,0.17180243170661974,-17.0989987189105,455.8018454876959,377.497605893186,1901,31984,0.059435967983992,0.0038986049270506263,v00046s00001_hw00007,
10362,14582,24944,41,0.5845894804361771,170777.94300650485,-0.038508958044929376,6.572981183044194,11.905900323628964,0.03584607274644175,0.034602521885905325,-82.5660179317604,35.049460022672434,531.4200206398349,3663,32120,0.11404109589041096,0.0023078982553610826,v00047s00001_hw00007,
10733,13987,24720,42,0.5658171521035599,127154.87105593288,-0.03035280925245562,5.858884758402823,13.126130878157088,0.049035812672176306,0.2568688166301224,-77.9131094046309,148.14003715612435,444.26386645126547,2205,33349,0.06611892410567033,0.0021838693081135526,v00048s00001_hw00007,
9904,16263,26167,41,0.6215080062674361,100807.19118579492,-0.0800744280044221,4.106012958781907,7.653180980159364,0.05455407969639469,0.2876675359212832,-80.9018183647565,150.15022827756187,534.3731968357375,1551,28995,0.053491981376099326,0.0028108274155405856,v00049s00001_hw00007,
9622,18751,28373,32,0.6608747753145596,141427.32754595805,-0.05235790558867137,4.444040327698794,10.87803893427249,0.0653061224489796,0.22750272336853963,-88.07262110213657,138.96311706929203,344.9431909750202,1969,32272,0.0610126425384234,0.0026898764785676823,v00050s00001_hw00007,
6193,13511,19704,31,0.685698335363378,152372.99208551072,-0.11391565750558375,7.142857142857143,17.126745579495427,0.029461756373937678,0.23205590601437467,-83.35966644576776,52.271075366449445,445.29398663697106,2646,35673,0.0741737448490455,0.001991151917576249,v00051s00001_hw00007,
5871,13473,19344,24,0.6964950372208437,144305.7954758879,-0.1306711978412789,6.875,14.874805165113829,0.022071307300509338,0.20631056029469294,-81.45089537486899,97.91548149904983,599.1931881630375,1840,34330,0.053597436644334404,0.002702335503611502,v00052s00001_hw00007,
13497,12393,25890,64,0.4786790266512167,201473.0432908147,-0.13439264435359055,6.571428571428571,29.34381409536565,0.048223350253807105,0.17650581645396035,-85.06336304226946,72.33962647498045,131.78963414634146,2255,35722,0.06312636470522368,0.0030719820106708965,v00053s00001_hw00007,
7333,12855,20188,28,0.6367644145036655,149304.29046599357,-0.11919610175693496,6.71580529916752,21.138657344266992,0.061941631923764146,0.2276383471801569,-73.54125690208622,57.18573421697119,393.497949619215,2395,33977,0.07048886011125173,0.0022436630975640063,v00054s00001_hw00007,
17221,10571,27792,59,0.38036125503742085,125489.94668897252,-0.09101409470533639,5.142857142857143,11.40014275868915,0.0654275092936803,0.2323674640410107,-64.30914094758057,43.66857232021426,340.9465811965812,2092,29218,0.07159969881579847,0.00314955184031694,v00055s00001_hw00007,
10037,15790,25827,36,0.6113756921051613,150585.8607384923,-0.03352295706198327,6.894291116568838,13.855447165428705,0.046049442559379546,0.22787340607871762,-74.47331590608812,85.34986916454514,450.38780371605526,2600,34741,0.07483952678391526,0.0023013952347749737,v00056s00001_hw00007,
9999,13704,23703,43,0.5781546639665865,139610.5006223933,-0.0535714285714286,6.649716378552045,13.85758463641003,0.05061867266591676,0.24699360732053122,-54.72720713743781,102.15143909979687,253.90939044481055,2177,34535,0.06303749819024178,0.0022831483628492967,v00057s00001_hw00007,
