path_length;straightness;dominant_angle;direction_concentration;width;height;aspect_ratio;median_speed;p95_speed;id
1.733.517;0.03423141;0.12015778;0.03066541;0.89141834;0.5028149;17.728.559;0.0775634;0.18427569;v00048s00001_hw00006
18.027.187;0.031780325;0.13019751;0.032930482;0.8927878;0.51548886;17.319.245;0.08359628;0.19535851;v00049s00001_hw00006
15.548.656;0.04492023;-0.07214397;0.039040618;0.8977756;0.49886897;1.799.622;0.07785858;0.14048563;v00050s00001_hw00006
16.323.654;0.03571151;0.76499265;0.07860243;0.8712661;0.4785435;18.206.624;0.07191038;0.16163097;v00051s00001_hw00006
1.870.382;0.027668145;-28.336.499;0.01584217;0.90797526;0.5445605;16.673.542;0.09024293;0.19361423;v00052s00001_hw00006
15.428.116;0.04172183;0.79900634;0.04846921;0.87384844;0.4742243;18.426.901;0.07110491;0.14974135;v00053s00001_hw00006
14.497.527;0.04676142;0.41146523;0.08337353;0.9014801;0.44928968;20.064.561;0.06684499;0.1334745;v00054s00001_hw00006
15.245.268;0.040928185;10.669.432;0.02419184;0.8915056;0.45053992;19.787.494;0.07131994;0.14759459;v00055s00001_hw00006
16.910.582;0.034180183;-0.2477391;0.012802337;0.9081298;0.52532303;17.287.074;0.07892257;0.17460352;v00056s00001_hw00006
16.434.772;0.034971572;-0.100615986;0.034209687;0.88051224;0.4811636;18.299.644;0.07640938;0.16616413;v00057s00001_hw00006
15.144.804;0.04558595;-0.5348611;0.034332663;0.8778974;0.47410446;18.516.961;0.07567678;0.13853832;v00058s00001_hw00006
16.146.378;0.0399542;0.3489559;0.025947237;0.90278685;0.47657514;18.943.222;0.07512654;0.16252428;v00059s00001_hw00006
17.384.308;0.03179873;0.56950897;0.03658842;0.9508476;0.5119154;18.574.312;0.07982516;0.18478797;v00060s00001_hw00006
14.554.187;0.04396424;0.25893864;0.048692465;0.91002977;0.48972052;18.582.635;0.06590407;0.1531669;v00061s00001_hw00006
14.412.694;0.04714991;-0.005032825;0.0475317;0.90249705;0.47728348;18.909.036;0.0674048;0.14728794;v00062s00001_hw00006
14.120.426;0.05171373;-144.634;0.043076716;0.8914628;0.49936664;17.851.869;0.070219874;0.13489313;v00063s00001_hw00006
17.873.676;0.028826484;30.486.424;0.024824543;0.89395237;0.52844405;16.916.689;0.082690485;0.18172406;v00064s00001_hw00006
17.786.087;0.033320516;0.60510385;0.029065149;0.9112429;0.5155665;17.674.594;0.077599935;0.18178892;v00065s00001_hw00006
16.190.147;0.03840899;0.47087088;0.07273534;0.91388214;0.4946093;18.476.849;0.07461737;0.18641451;v00066s00001_hw00006
17.104.813;0.031908773;-0.82882994;0.01916072;0.89254415;0.49941328;17.871.854;0.07975377;0.17429528;v00067s00001_hw00006
1.718.388;0.048549317;-0.86582446;0.06855064;0.9628509;0.5577339;17.263.626;0.07931675;0.17184737;v00068s00001_hw00006
18.358.978;0.030468052;-19.838.662;0.010338663;0.90432703;0.5338522;16.939.651;0.08451849;0.1893148;v00069s00001_hw00006
1.827.922;0.030419441;14.570.662;0.02477097;0.9633883;0.53338766;18.061.692;0.0787096;0.19902144;v00070s00001_hw00006
1.629.992;0.036713008;0.42738822;0.044901382;0.89322895;0.4970693;17.969.908;0.073874876;0.16678262;v00071s00001_hw00006
19.377.657;0.027401274;-30.566.318;0.021243105;0.97018164;0.57573706;16.851.124;0.08838129;0.20169337;v00072s00001_hw00006
18.934.143;0.030993681;-13.909;0.04145885;0.9268915;0.56205666;16.491.069;0.08972369;0.1875712;v00073s00001_hw00006
18.799.507;0.02874705;0.050366938;0.0052334475;0.9365123;0.54660606;17.133.222;0.085706525;0.20303907;v00074s00001_hw00006
1.535.442;0.043626316;-0.16563405;0.026310008;0.8724919;0.46142364;18.908.695;0.07369713;0.14819446;v00075s00001_hw00006
15.949.057;0.0378621;0.32012182;0.014277225;0.8873166;0.45159662;19.648.433;0.06972543;0.1580171;v00076s00001_hw00006
16.403.875;0.034023397;-0.07971139;0.03205927;0.8750064;0.50960654;17.170.235;0.07748011;0.17035852;v00077s00001_hw00006
15.127.467;0.040912036;0.5241257;0.046887025;0.89510155;0.4701378;19.039.131;0.071578756;0.1492701;v00078s00001_hw00006
16.298.502;0.035102498;-0.15411717;0.041255664;0.8891497;0.4774325;1.862.357;0.07317992;0.17060539;v00079s00001_hw00006
184.775;0.030076474;2.307.159;0.010639997;0.9194919;0.47674698;1.928.679;0.08261681;0.1917167;v00080s00001_hw00006
16.279.034;0.036449622;0.2824001;0.021997375;0.88698983;0.5190608;17.088.361;0.07564397;0.17150259;v00081s00001_hw00006
16.504.728;0.035162304;0.34706107;0.02616751;0.8780839;0.45259157;19.401.243;0.076657414;0.17388135;v00082s00001_hw00006
1.963.594;0.02845879;-12.795.911;0.03840227;0.9354183;0.5446246;17.175.468;0.09560725;0.18817852;v00083s00001_hw00006
16.867.788;0.03732661;-0.095094204;0.023720896;0.89023614;0.50068533;17.780.352;0.07814752;0.17090358;v00084s00001_hw00006
1.580.952;0.04168616;0.57536393;0.027053062;0.9031065;0.47601938;18.972.054;0.07252761;0.14957169;v00085s00001_hw00006
19.840.712;0.026777111;-30.004.625;0.008784053;0.9687541;0.57798564;16.760.868;0.09141886;0.21073046;v00086s00001_hw00006
16.493.591;0.035085786;-0.56803596;0.032465607;0.88828516;0.4739764;18.741.126;0.07882603;0.16809864;v00087s00001_hw00006
14.603.833;0.04970535;0.20235145;0.028677357;0.9206195;0.49503964;18.596.884;0.066044055;0.13850841;v00088s00001_hw00006
15.407.988;0.03853928;0.7554711;0.05508221;0.8772059;0.4695403;18.682.228;0.07075425;0.17160185;v00089s00001_hw00006
