F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_acceleration,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,id
23439,19042,42481,30,0.44824745180198206,157419.38938432458,0.0,2.857142857142857,7.759522356869198,0.12895569620253164,0.033773407157367825,-70.16537301442308,120.98241393720468,293.920521945433,6782,7844,0.8646098929117797,0.003738928825615989,u00031s00001_hw00002
7773,19797,27570,13,0.718063112078346,131194.68083635948,0.0,2.729281882077543,7.5142981364598445,0.14220532319391635,0.032671224118384835,-106.23222562917316,81.57555616683524,553.4158114785253,7646,6781,1.1275623064444773,0.002978041035695243,u00032s00001_hw00002
19681,19783,39464,28,0.5012923170484492,176206.55718948424,0.0,2.8201285431696195,9.127568011347414,0.27265803503427266,0.020503360668628928,-42.20966280280342,236.1695147249284,549.9946707270651,7466,8394,0.8894448415534906,0.0037271777621642114,u00033s00001_hw00002
9771,21381,31152,15,0.68634437596302,123878.70068520785,0.0,2.381560823408925,6.5148179515877676,0.22976776917663616,0.02783461788241363,-29.483342059690163,190.9983800712321,465.65494196271544,6280,7732,0.8122090015519917,0.0031615666626808375,u00034s00001_hw00002
9454,13570,23024,16,0.5893849895760945,93442.87332440837,0.0,2.7950849718747373,8.912670965963452,0.2253052164261931,0.014144831627281161,4.330175166567324,103.72987139811006,556.2329450915141,6741,4952,1.3612681744749595,0.003866717763004067,u00035s00001_hw00002
15055,24911,39966,17,0.6233048090877246,151429.82604463262,0.0,2.4927500490069887,7.0,0.19818731117824773,0.02635250567247365,-35.64153778341843,130.9992222517212,779.5741467834491,7754,7249,1.0696647813491515,0.0032025121793283805,u00036s00001_hw00002
14926,12979,27905,21,0.4651137788926716,138380.8090847778,0.0,3.964845477274848,10.872321428571427,0.1734338747099768,0.030739980255947017,66.46220697063544,5.06850155694893,446.53971014492754,8635,6602,1.3079369887912753,0.003154555865324179,u00037s00001_hw00002
13082,13668,26750,20,0.5109532710280373,132252.8748356453,0.0,4.571428571428571,10.750218015886679,0.1840220385674931,0.037743439462160196,-81.71235458393825,30.7346265377318,521.5528634361234,8401,7628,1.1013371788148925,0.0025411820064253766,u00038s00001_hw00002
15588,7824,23412,26,0.3341875961045618,133381.18212836783,0.0,5.2876444352347844,17.583589119893336,0.2023121387283237,0.018123777637344077,-8.426374510986545,186.58356857431,310.070259865255,6599,6763,0.9757504066242791,0.003670682892283361,u00039s00001_hw00002
14982,10462,25444,29,0.4111774878163811,144034.95998757338,-0.017857142857142905,5.667892024377317,12.700544343468637,0.14769452449567724,0.024414619113506897,-106.7413414458848,4.356629655113686,419.5104391648668,8196,7368,1.1123778501628665,0.0027683010023338396,u00040s00001_hw00002
9723,16551,26274,16,0.6299383420872345,96398.06682957042,0.0,2.6721947908039936,6.760870733732222,0.19690768531150524,0.03994521095800211,0.34346470563354575,11.280544612616112,598.5709090909091,6285,4619,1.3606841307642348,0.004385409868651634,u00041s00001_hw00002
11442,22569,34011,15,0.6635794301843522,150397.4237075661,0.0,2.5,7.6413758577889626,0.21066666666666667,0.021747710271877736,62.19939266781165,28.501049329605543,732.5474841719426,6992,5372,1.3015636634400596,0.005245958435411654,u00042s00001_hw00002
11466,16717,28183,15,0.5931589965582088,83419.89559302386,0.0,2.2150056433336687,5.816195062065921,0.20441242683475913,0.03153158096433532,11.512704451540706,57.36501669927707,698.3271827182718,5499,4540,1.2112334801762115,0.004259156660551702,u00043s00001_hw00002
19811,20178,39989,20,0.5045887619095252,159055.86178119722,0.0,2.857142857142857,7.337349526335633,0.20149253731343283,0.017856846330152838,-22.07427539258244,75.6153793640916,617.260350615442,8124,6430,1.263452566096423,0.0035011837225764103,u00044s00001_hw00002
5483,10223,15706,12,0.650897746084299,69402.01161863044,0.0,3.5355339059327378,8.853016474287045,0.15243004418262152,0.07154690263394761,29.429498910565105,25.612578806408983,553.0323767476085,5482,3866,1.4180031039834453,0.004578640497127673,u00045s00001_hw00002
12577,32258,44835,13,0.7194825471172075,111797.21476903989,0.0,1.987202304759566,4.719908261608783,0.2800839552238806,0.013430625976184758,-6.872897039104499,425.03656568678383,579.7353695500117,7582,7631,0.9935788232210719,0.00248554824493278,v00001s00001_hw00002
8822,16973,25795,22,0.6579957356076759,110583.25884677799,0.0,2.7737839769925143,8.312809230796201,0.19573901464713714,0.021248924411451563,-52.98223796612583,87.33477390373746,556.2240461401952,7278,6753,1.0777432252332297,0.0033626186092581595,v00002s00001_hw00002
19267,8083,27350,30,0.29553930530164535,183448.73608625305,-0.051252385377520415,6.285714285714286,17.414801767476852,0.11297852474323063,0.014671974220756761,-33.16366630070381,13.646860982596303,385.8955223880597,7292,7423,0.9823521487269298,0.004289388533485322,v00003s00001_hw00002
23572,25399,48971,30,0.518653897204468,146199.09654142358,0.0,2.069118169655856,4.714285714285714,0.10314167160640189,0.024215261029365977,-73.62573472517772,228.86518664548677,175.02637037037036,7290,5659,1.2882134652765507,0.004568281141927472,v00004s00001_hw00002
21264,16436,37700,20,0.4359681697612732,132807.27552250918,0.0,3.125,7.6222656995519555,0.13290559120073328,0.011937152171528291,-39.56401177393957,63.225616899906775,177.283096655978,6374,6127,1.0403133670638158,0.004364263957338148,v00005s00001_hw00002
28151,23062,51213,26,0.450315349618261,163480.03885386122,0.0,2.2163724428282645,5.779979521183975,0.20124142437112055,0.017789430611761102,-22.47750732316937,106.6305114624637,611.8631613324625,7747,6212,1.2471023824855119,0.004606931809051945,v00006s00001_hw00002
24337,30942,55279,36,0.5597423976555292,199044.94532056368,0.0,1.8571428571428572,5.880316743169538,0.2,0.008523811747221716,-41.450258878741536,209.92641382235254,418.6054487959134,8072,7363,1.0962922721716692,0.004326337015987613,v00007s00001_hw00002
81229,36087,117316,44,0.30760510075352043,436608.73732982366,0.0,1.75,5.0,0.14682539682539683,0.009597186563902698,-59.4161365597328,9.036056244786193,344.94717059929,8759,7663,1.1430249249641133,0.008357781249308693,v00008s00001_hw00002
19800,32217,52017,19,0.6193552107964704,149176.67040815792,0.0,1.1428571428571428,5.588001884281058,0.39532710280373834,0.026135312584304016,-29.68267527994625,393.14701037739997,739.9745386591918,7694,6287,1.2237951328137426,0.0037800537459256336,v00009s00001_hw00002
29672,37294,66966,54,0.5569094764507362,348532.4698218627,0.0,3.5,10.733446963110522,0.17662494953572871,0.013892899270296606,-24.507688640570752,73.94627570739608,366.7699293642785,6201,6142,1.0096059915337023,0.010695863269146216,v00010s00001_hw00002
17959,15899,33858,23,0.469578829227952,148659.54504263846,0.0,3.582838915424129,9.285714285714286,0.1942207484604453,0.047058393585615574,-50.251706166914,120.49636979082325,365.079071969697,7709,7494,1.0286896183613559,0.0032494364080034757,v00011s00001_hw00002
11310,19728,31038,22,0.6356079644306979,128846.55115803384,0.0,2.634155559226539,8.75,0.1952707856598017,0.028592430831675973,-68.97583659165278,174.87970761570938,775.3080442241708,5921,6055,0.977869529314616,0.004231230199912138,v00012s00001_hw00002
8665,17857,26522,16,0.6732900987859136,105069.06637802775,0.0,3.555365663331973,7.399705513293666,0.1812816188870152,0.035164833791490414,-19.909801987151454,12.50176599570523,664.6995364517488,7374,6139,1.2011728294510506,0.0027233722293119418,v00013s00001_hw00002
16700,15399,32099,26,0.47973457117044144,138276.80340569853,0.0,3.75,6.52782363568412,0.10415647921760392,0.02778444261356419,-75.66078799794361,69.1527869021792,333.1480938416422,7496,6572,1.140596469872185,0.003616937183944199,v00014s00001_hw00002
16145,19207,35352,19,0.5433073093460059,147867.64430390476,0.0,2.0,10.48285892223362,0.24029792238337908,0.02540698511967455,-10.51501004768414,146.330535406094,537.7029780564263,7515,6501,1.1559760036917397,0.003934490273473642,v00015s00001_hw00002
19404,17144,36548,33,0.46908175549961695,179722.94563410894,-0.0023723631096517206,2.75,9.125,0.19024604569420034,0.005272167200049048,-121.15751043447654,39.76878609954137,559.7233201581028,7851,6873,1.1422959406372764,0.004202569107601555,v00016s00001_hw00002
20976,17830,38806,28,0.4594650311807452,146391.56690060731,0.0,3.2857142857142856,8.8881207510179,0.23954372623574144,0.02857002542291256,-34.57875881439307,153.47566151105406,449.7947635135135,8545,6625,1.289811320754717,0.0033958958072794047,v00017s00001_hw00002
10104,11536,21640,26,0.5330868761552681,129758.88825260026,0.0,4.428571428571429,12.21123133190491,0.14705882352941177,0.030188543196934394,-50.74802080138991,56.75918809415782,420.6178967994775,6939,5995,1.157464553794829,0.003996645642647948,v00018s00001_hw00002
15546,16490,32036,21,0.5147334248969909,108538.66622817575,0.0,2.375,7.152849298914078,0.2535404294198264,0.05217443739205951,-13.054068942374252,263.7079160256101,609.7625570776256,5606,5418,1.0346991509782208,0.004572891132115001,v00019s00001_hw00002
19373,18986,38359,29,0.4949555515002998,178614.53506236046,-0.008536947431053932,2.576941016011038,8.574125319821258,0.15906386354621183,0.032552705635293944,-15.177450009350514,51.05209258455617,334.1157811260904,6842,6838,1.000584966364434,0.0048880998797370895,v00020s00001_hw00002
9726,18164,27890,20,0.6512728576550735,97816.84001133076,0.0,2.748956004405096,6.714285714285714,0.1433899709904683,0.03414392087667773,-67.48860399403648,56.821831565389274,637.4034797017398,8642,4805,1.7985431841831425,0.00287154385890896,v00021s00001_hw00002
25356,12764,38120,30,0.3348373557187828,195296.6078322299,0.0,5.0,11.14377285614651,0.1991725768321513,0.016560825407376755,-59.84764008677725,26.094344288045797,288.45776727702304,8700,6856,1.2689614935822637,0.0038334990357341884,v00022s00001_hw00002
7105,7746,14851,18,0.5215810383139182,97991.68458478086,-0.01951221367587408,5.054801717986895,16.359604679856893,0.17607003891050585,0.03254165600284046,-26.610875836781954,34.88972830646226,653.2351797862002,6254,5660,1.1049469964664311,0.0038088629143986233,v00023s00001_hw00002
10180,14384,24564,23,0.5855723823481518,132628.98500729178,0.0,4.093299651969829,10.38206476741831,0.17163788592360021,0.02627503537499686,-54.538462266027885,51.169810372843635,494.173640167364,6670,7024,0.9496013667425968,0.003486782835040924,v00024s00001_hw00002
23931,19591,43522,23,0.45014015900004595,141790.9398732112,0.0,2.4285714285714284,6.627093431281829,0.1787773933102653,0.021004738061277287,-40.066902016711644,66.79246025103188,522.1345119139123,5276,5334,0.9891263592050994,0.006446380491970331,v00025s00001_hw00002
13190,14717,27907,29,0.5273587272010607,114848.20695014187,0.0,2.6736558053415402,8.141679113176448,0.18014329580348004,0.02758398549920404,-76.35223710911411,40.604081113630755,379.17186700767263,5745,5250,1.0942857142857143,0.005047275136433112,v00026s00001_hw00002
24013,24198,48211,28,0.5019186492709132,176191.67198493707,0.0,2.848423484600442,8.368279087496028,0.17055711173358232,0.026310232533273418,-72.98728069995317,72.8437529349967,410.12818917237087,9226,7056,1.3075396825396826,0.003627051565358497,v00027s00001_hw00002
24495,23924,48419,26,0.49410355438980563,189584.37633094206,0.0,2.5,6.916027090043009,0.250157331655129,0.022205269049931135,-88.92585014214738,172.78734256264926,609.2264863164518,7358,7232,1.0174225663716814,0.004233998014456253,v00028s00001_hw00002
30022,22672,52694,32,0.43025771435078,196760.50803196972,0.0,2.2587697572631282,6.0,0.132890365448505,0.021999525310130726,-58.74865909768654,151.42472603599813,396.1710395217536,7820,6609,1.1832349825994855,0.004916550860869429,v00029s00001_hw00002
24356,16366,40722,30,0.4018957811502382,140857.47454475658,0.0,3.5,7.932573281869984,0.10165593376264949,0.03060149813453178,-59.1887190786109,56.88130353397677,444.05655172413793,7456,6211,1.2004508130735791,0.0040541321407638175,v00030s00001_hw00002
25610,11751,37361,33,0.31452584245603704,141292.3643043943,-0.008539910400986006,4.5,10.351572008105073,0.10583707504810776,0.05408110425288493,-28.661250987642617,52.6568058319978,198.3551282051282,7536,6121,1.2311713772259434,0.003962119204607835,v00031s00001_hw00002
15125,11544,26669,23,0.4328621245641006,116678.94021534537,0.0,4.5,13.167702770236124,0.17819843342036554,0.02914363420266928,1.8975762314069884,56.060665838968895,440.399217221135,7635,5868,1.3011247443762781,0.0035704474129901443,v00032s00001_hw00002
32002,29530,61532,29,0.4799128908535396,176099.05585247197,0.0,2.0,6.0,0.11553175210405509,0.02597397552492894,-65.23722478341416,213.9727818445833,567.2740948495665,8231,6611,1.2450461352291635,0.003983719909745118,v00033s00001_hw00002
18386,15088,33474,24,0.4507378861205712,174765.00647380104,0.0,3.8597874531732277,8.999546370938923,0.17923115327009487,0.024612121553661374,-34.77019407666219,69.11589798701397,506.9805389221557,7238,6764,1.0700768775872265,0.00441359121057331,v00034s00001_hw00002
14285,9068,23353,20,0.3883012889136299,104085.57548888827,-0.015370079747876852,3.988264033385954,12.719741800892104,0.1611295681063123,0.027074772981941973,-7.088351155010437,11.852652723322997,359.5402489626556,6134,4677,1.3115244815052385,0.005070383756237907,v00035s00001_hw00002
18170,21225,39395,15,0.5387739560857977,114727.84947262361,0.0,2.1505813167606567,5.398205720422296,0.07801418439716312,0.018630545300988035,-40.56309163872953,113.06875038532799,500.62991846862815,6559,5732,1.144277739009072,0.003636080139359071,v00036s00001_hw00002
17752,7643,25395,26,0.300964756841898,108383.37274916934,0.0,4.0,10.246474674272791,0.22826086956521738,0.022204805128169244,-3.6956830452251137,72.46273793397204,215.23593287265547,4730,4569,1.0352374699058875,0.006821792648703544,v00037s00001_hw00002
10380,16146,26526,18,0.6086858176883058,87579.51047183128,0.0,2.307927774486216,8.0,0.208955223880597,0.042425642956958255,-52.61547685324858,170.16763977014787,601.9850815850816,6264,5448,1.1497797356828194,0.003462891682623108,v00038s00001_hw00002
9310,11252,20562,16,0.5472230327789126,118289.28137490539,0.0,4.731570046194055,14.317589150920185,0.20147255689424365,0.035838332732659635,-50.851535712093735,31.931169952849555,597.8254180602007,7954,6704,1.18645584725537,0.0028614493108653823,v00039s00001_hw00002
15325,20723,36048,25,0.5748723923657346,129330.26873275857,0.0,2.6341555592265395,7.253442061797851,0.17296511627906977,0.026145655869048455,-53.83878027665247,85.28846288543687,461.45405012713405,7464,6467,1.1541673109633523,0.003212881786697376,v00040s00001_hw00002
18273,13186,31459,30,0.4191487332718777,154479.34681243004,0.0,4.142433762151183,11.345231706690258,0.21016561964591662,0.0427917695847243,-59.69250382928943,16.897511784264292,451.9349315068493,7802,6163,1.2659419114067825,0.004085592596181728,v00041s00001_hw00002
16931,24672,41603,17,0.5930341561906594,122512.82474975803,0.0,2.4558603380485624,5.714285714285714,0.2131747483989021,0.028360830366547005,-67.62811712998915,370.9282058413748,588.6332317073171,7051,6799,1.0370642741579643,0.0032925755530640987,v00042s00001_hw00002
14203,9494,23697,26,0.40064143140481917,151225.9410181899,-0.01785714285714285,4.994892742367568,15.26892806205698,0.17979315831344472,0.027534494720246043,-22.01487659799132,31.216641112301296,400.6255961844197,7452,6448,1.1557071960297767,0.004252461942022397,v00043s00001_hw00002
13851,20872,34723,23,0.601100135356968,133005.83494528325,0.0,2.625,6.379900077587423,0.17712842712842713,0.03185438246028763,-78.238641390661,85.03780977705294,632.9841327082582,7910,6188,1.2782805429864252,0.003521060869357939,v00044s00001_hw00002
10311,14407,24718,18,0.5828545998867223,121012.16196188782,0.0,3.377314021526574,9.571801684978762,0.22100313479623823,0.036269890447651706,16.94063608158638,83.12443758790721,614.8767624020887,7448,6990,1.06552217453505,0.0031837049092107244,v00045s00001_hw00002
17751,11257,29008,31,0.38806536127964697,166323.84976857144,-0.027430371694538547,4.522510159483436,10.758772994626613,0.10441767068273092,0.02102808350119033,-103.682942945342,15.897431983018299,311.5505016722408,6745,6076,1.110105332455563,0.0050697365184485255,v00046s00001_hw00002
16633,11659,28292,17,0.4120952919553231,89031.79347140146,0.0,2.23606797749979,15.002989786222876,0.3014848289218851,0.04140260593428147,-3.627356076958532,97.96036940546415,368.6741935483871,6320,5174,1.2214920757634324,0.0035639611039050643,v00047s00001_hw00002
8812,12503,21315,15,0.5865822190945343,97477.06790768495,0.0,3.783546703828134,8.0,0.12755716004813478,0.04137548711399433,-50.076059542588105,39.04389533073007,465.2687913409501,6386,6638,0.9620367580596565,0.0030728449744275976,v00048s00001_hw00002
20715,25057,45772,32,0.5474307436860963,158969.552866602,0.0,2.2150056433336687,5.377580064205346,0.1471913487533794,0.04000016571035416,-85.1905127687684,107.04600381367462,613.3885885885886,6930,6068,1.1420566908371785,0.004730757492067789,v00049s00001_hw00002
27383,19167,46550,24,0.41175080558539207,263926.833939506,-0.01593231463581013,3.375,7.236870180363143,0.08608490566037735,0.01724550026764462,-101.28238183801801,29.41827097403988,472.8805500982318,8117,6489,1.2508861149637849,0.006544522371764693,v00050s00001_hw00002
15184,22928,38112,20,0.6015952980688497,127833.82853683506,0.0,2.75,5.998979302441316,0.1309484739087627,0.03416464249615664,-30.35082464236137,49.920657690911504,483.2004593175853,7643,7192,1.0627085650723025,0.0027512123176248707,v00051s00001_hw00002
20818,30047,50865,26,0.590720534748845,162469.1362655075,0.0,2.37761671101332,5.571428571428571,0.18090704084189427,0.02401270216860164,-95.44784402226095,134.9551840378988,670.9461422845692,6296,6351,0.9913399464651236,0.005145798953687505,v00052s00001_hw00002
21162,11528,32690,31,0.3526460691342918,165619.6052975315,-0.01785714285714285,3.880879344916036,13.283716775995082,0.18705035971223022,0.023384273440973685,-29.90799949992354,31.97592031280662,236.76209150326798,6830,6257,1.0915774332747323,0.0048473272744095006,v00053s00001_hw00002
61011,35554,96565,36,0.3681872313985398,175022.43849546474,0.0,1.1428571428571428,4.5,0.30205464943867827,0.022086442970026852,-19.95795287595447,285.9606235019001,416.62833545108003,5821,5947,0.9788128468135194,0.005903979579823947,v00054s00001_hw00002
27505,11970,39475,28,0.3032298923369221,166142.9935585737,-0.009603018638553174,5.306246319197781,9.484250955878805,0.09382871536523929,0.023527522231822265,-25.0476700685158,33.01072596571319,317.4594084329767,8064,6540,1.2330275229357799,0.003991588973557238,v00055s00001_hw00002
9139,17250,26389,15,0.653681458183334,86418.39455232608,0.0,2.6516504294495533,6.82509617032974,0.21693583587952858,0.03685886542190791,-10.984688319323384,90.89782568126543,505.72294938917975,6616,5384,1.2288261515601784,0.0032113056465729747,v00056s00001_hw00002
20237,13967,34204,29,0.4083440533270962,137332.05325436493,-0.01785714285714285,3.8992411611303375,8.151052819406061,0.07933081489476525,0.030886718259638596,-44.73502847248583,16.4848033279667,211.07443365695792,7634,6270,1.2175438596491228,0.0036101321947491927,v00057s00001_hw00002
16167,14764,30931,22,0.4773204875367754,144212.91406197182,0.0,3.9250796170268956,8.297527900762551,0.16428571428571428,0.022805115622972518,-43.64328608085532,43.978377841513904,549.2284548699643,8141,6048,1.3460648148148149,0.003758130406912833,v00058s00001_hw00002
9522,9132,18654,21,0.48954647796719203,128010.12244051835,-0.020776596934757086,6.063466417817452,17.441703520287792,0.16240725474031328,0.023724131991200624,-79.38833292571671,23.726017465332834,507.4546952224053,8158,7148,1.1412982652490207,0.0029036325504160224,v00059s00001_hw00002
37364,15318,52682,104,0.29076344861622566,265074.3024589841,-0.03571428571428581,6.241243866409964,16.549862814648147,0.15927021696252466,0.014666627315484765,3.0643088793672355,58.25631237166599,158.0783637259734,6979,6125,1.1394285714285715,0.007478777545105203,v00060s00001_hw00002
18079,13523,31602,30,0.42791595468641225,148456.1835487167,0.0,4.508848604857414,8.968425096551387,0.11253481894150417,0.026335639144028578,-77.4593132902868,31.098759708513168,469.3028953229399,8223,6756,1.2171403197158082,0.003356463294385285,v00061s00001_hw00002
16504,9709,26213,24,0.3703887384122382,201164.06387208414,-0.0708090169991964,6.677912214921214,16.158652196774536,0.07381507381507381,0.009803135317603942,-99.37670634542869,16.73381889191098,218.64285714285714,8016,8092,0.990608007909046,0.0037911881151873376,v00062s00001_hw00002
20024,9573,29597,30,0.3234449437442984,181007.88490438275,-0.05287087901720766,6.032217841559227,12.936243689695294,0.14972419227738376,0.022889753776599686,38.69485265601611,27.10133124736288,382.8181102362205,6855,6704,1.0225238663484486,0.004889201208319727,v00063s00001_hw00002
