path_length;mean_speed;std_speed;straightness;direction_variance;bbox_area;sample_id
15.840.374;0.07959987;0.04474605;0.03643984;3.108.783;0.4173733;u00024s00001_hw00006
1.409.116;0.07080985;0.038402136;0.045783564;3.132.639;0.3846604;u00025s00001_hw00006
17.070.967;0.08578375;0.05047295;0.03233553;32.510.993;0.4809145;u00026s00001_hw00006
16.056.564;0.08068626;0.046394695;0.035468604;31.205.742;0.4169724;u00027s00001_hw00006
158.902;0.07985025;0.04273159;0.038050134;3.078.898;0.4290459;u00028s00001_hw00006
16.445.969;0.08264306;0.045228742;0.03483635;30.765.746;0.41205662;u00029s00001_hw00006
1.571.942;0.07899206;0.04581693;0.03850208;2.987.039;0.41480988;u00030s00001_hw00006
17.054.573;0.08570137;0.04867957;0.0325373;32.686.043;0.45091772;u00031s00001_hw00006
16.079.266;0.08080033;0.0476573;0.036593348;31.425.986;0.43544468;u00032s00001_hw00006
16.567.402;0.08325328;0.042244256;0.0496364;30.279.117;0.52481383;u00033s00001_hw00006
15.703.182;0.07891046;0.04590054;0.040215254;2.960.521;0.46546748;u00034s00001_hw00006
16.727.798;0.08405929;0.046224836;0.033635706;33.043.833;0.43163654;u00035s00001_hw00006
15.922.702;0.08001358;0.045353085;0.038693596;3.054.798;0.38936684;u00036s00001_hw00006
17.295.372;0.08691142;0.049534015;0.031616252;31.987.743;0.477977;u00037s00001_hw00006
15.252.502;0.07664574;0.04504104;0.03839396;3.120.291;0.46136662;u00038s00001_hw00006
16.664.967;0.08374355;0.04828424;0.035226498;3.197.438;0.48580512;u00039s00001_hw00006
16.533.258;0.0830817;0.046817977;0.03355165;31.610.973;0.4427885;u00040s00001_hw00006
16.838.589;0.08461602;0.048845746;0.03200593;3.274.267;0.46528783;u00041s00001_hw00006
15.087.069;0.07581442;0.043913122;0.038713552;30.005.813;0.39488658;u00042s00001_hw00006
192.033;0.096498996;0.04999997;0.028059287;32.794.235;0.5038753;u00043s00001_hw00006
16.961.115;0.08523174;0.044282608;0.03366216;32.289.567;0.53537947;u00044s00001_hw00006
15.509.958;0.07793949;0.043006316;0.039703302;3.053.623;0.42846403;u00045s00001_hw00006
14.914.036;0.074944906;0.039304253;0.044216115;29.475.348;0.40768692;v00006s00001_hw00006
1.809.924;0.09095095;0.0544943;0.03062978;30.519.857;0.48527512;v00007s00001_hw00006
15.569.937;0.07824089;0.041501697;0.042459484;304.833;0.420057;v00008s00001_hw00006
17.155.706;0.08620958;0.050101668;0.03188084;30.426.433;0.43804076;v00009s00001_hw00006
14.993.832;0.07534589;0.039347734;0.052251507;3.152.786;0.4804283;v00010s00001_hw00006
160.596;0.080701515;0.04405979;0.04063469;29.938.576;0.42470738;v00011s00001_hw00006
15.039.151;0.07557362;0.04358515;0.04297266;29.566.638;0.46992543;v00012s00001_hw00006
14.204.041;0.07137709;0.036353298;0.045440994;30.678.399;0.39942077;v00013s00001_hw00006
15.821.875;0.07950691;0.04215725;0.045531943;30.184.896;0.47085547;v00014s00001_hw00006
16.892.635;0.08488762;0.047105055;0.033569254;2.964.001;0.4297825;v00015s00001_hw00006
16.696.545;0.08390223;0.04710505;0.035435464;3.042.864;0.40539968;v00016s00001_hw00006
15.987.153;0.08033745;0.042586226;0.03980637;3.050.637;0.44252142;v00017s00001_hw00006
15.694.154;0.078865096;0.043819852;0.035714593;3.103.764;0.38910782;v00018s00001_hw00006
15.496.227;0.07787049;0.04633176;0.03753971;32.614.992;0.41074648;v00019s00001_hw00006
1.613.274;0.081069045;0.04541959;0.035826076;30.490.403;0.40365106;v00020s00001_hw00006
17.066.946;0.08576355;0.04991103;0.032643292;30.686.681;0.46689707;v00021s00001_hw00006
15.909.102;0.07994524;0.045782518;0.037219375;30.992.782;0.4504526;v00022s00001_hw00006
15.586.613;0.07832469;0.04470865;0.037269413;30.537.686;0.40317777;v00023s00001_hw00006
16.876.842;0.08480825;0.046500627;0.03807656;30.324.244;0.44281414;v00024s00001_hw00006
16.795.914;0.08440158;0.048239455;0.034028918;30.343.661;0.44087636;v00025s00001_hw00006
17.009.071;0.08547272;0.048134863;0.034169268;29.608.655;0.41768208;v00026s00001_hw00006
16.110.012;0.080954835;0.048144367;0.035710372;30.284.085;0.44357178;v00027s00001_hw00006
16.823.002;0.0845377;0.049783345;0.0358178;30.821.245;0.4998086;v00028s00001_hw00006
1.483.378;0.074541606;0.039943457;0.04330705;30.277.438;0.39234734;v00029s00001_hw00006
15.426.374;0.07751947;0.03976515;0.042773686;30.776.067;0.44078398;v00030s00001_hw00006
18.185.951;0.09138669;0.05100493;0.030584069;3.203.301;0.48615545;v00031s00001_hw00006
17.013.058;0.08549275;0.047384482;0.036082044;3.098.631;0.46086076;v00032s00001_hw00006
14.965.349;0.07520276;0.039217137;0.042506192;29.025.111;0.38247636;v00033s00001_hw00006
15.062.813;0.07569253;0.04055799;0.041856896;28.560.681;0.38289997;v00034s00001_hw00006
14.706.754;0.073903285;0.038749944;0.04525316;29.936.285;0.40449148;v00035s00001_hw00006
15.346.449;0.07711783;0.043545187;0.039680272;30.795.317;0.41531688;v00036s00001_hw00006
13.719.524;0.06894233;0.0350102;0.05340822;30.324.953;0.40998355;v00037s00001_hw00006
19.966.682;0.100335084;0.05607952;0.027462507;3.169.285;0.6168357;v00038s00001_hw00006
16.747.473;0.08415815;0.049706053;0.03642697;3.032.262;0.5170183;v00039s00001_hw00006
18.045.738;0.090682104;0.051139537;0.030456658;3.147.245;0.51911503;v00040s00001_hw00006
16.230.473;0.081560165;0.047568113;0.035241842;3.038.439;0.42518425;v00041s00001_hw00006
20.611.818;0.10357697;0.054969113;0.026608696;32.488.863;0.5670925;v00042s00001_hw00006
16.318.256;0.08200129;0.046968225;0.036603957;30.989.347;0.43804145;v00043s00001_hw00006
1.752.162;0.08804834;0.04642556;0.033512093;30.332.909;0.42432544;v00044s00001_hw00006
1.734.492;0.0871604;0.049577136;0.03375349;31.142.995;0.4685486;v00045s00001_hw00006
145.371.895;0.07305121;0.03955887;0.043573692;31.389.613;0.39880377;v00046s00001_hw00006
16.090.721;0.080857895;0.04804776;0.037430864;3.071.776;0.4132382;v00047s00001_hw00006
1.733.517;0.08711141;0.050131083;0.03423141;30.707.803;0.4482184;v00048s00001_hw00006
18.027.187;0.09058888;0.05264762;0.031780325;3.090.381;0.46022218;v00049s00001_hw00006
15.548.656;0.078133956;0.038334575;0.04492023;29.882.286;0.4478724;v00050s00001_hw00006
16.323.654;0.08202841;0.046118326;0.03571151;2.935.078;0.41693872;v00051s00001_hw00006
1.870.382;0.093989044;0.053105697;0.027668145;32.954.402;0.49444744;v00052s00001_hw00006
15.428.116;0.07752822;0.04144242;0.04172183;30.600.235;0.41440016;v00053s00001_hw00006
14.497.527;0.0728519;0.037347995;0.04676142;28.678.575;0.4050257;v00054s00001_hw00006
15.245.268;0.07660939;0.04107593;0.040928185;31.795.244;0.40165886;v00055s00001_hw00006
16.910.582;0.0849778;0.05046231;0.034180183;3.158.154;0.4770615;v00056s00001_hw00006
16.434.772;0.082586795;0.047625456;0.034971572;3.080.997;0.42367044;v00057s00001_hw00006
15.144.804;0.076104544;0.03705852;0.04558595;30.154.889;0.41621506;v00058s00001_hw00006
16.146.378;0.081137575;0.041791033;0.0399542;30.873.513;0.43024576;v00059s00001_hw00006
17.384.308;0.08735833;0.050915424;0.03179873;3.050.231;0.48675352;v00060s00001_hw00006
14.554.187;0.07313662;0.04151231;0.04396424;3.003.331;0.44566026;v00061s00001_hw00006
14.412.694;0.0724256;0.038807333;0.04714991;30.464.308;0.43074694;v00062s00001_hw00006
14.120.426;0.070956916;0.03570166;0.05171373;31.544.583;0.4451668;v00063s00001_hw00006
17.873.676;0.08981747;0.0496893;0.028826484;33.424.954;0.47240382;v00064s00001_hw00006
17.786.087;0.08937732;0.05280151;0.033320516;3.089.878;0.46980634;v00065s00001_hw00006
16.190.147;0.081357524;0.046644323;0.03840899;2.872.944;0.4520146;v00066s00001_hw00006
17.104.813;0.08595383;0.05081728;0.031908773;31.518.893;0.4457484;v00067s00001_hw00006
1.718.388;0.086351156;0.043993957;0.048549317;30.343.213;0.5370146;v00068s00001_hw00006
18.358.978;0.09225617;0.05141583;0.030468052;32.597.601;0.482777;v00069s00001_hw00006
1.827.922;0.09185538;0.055853754;0.030419441;31.377.945;0.51385945;v00070s00001_hw00006
1.629.992;0.08190914;0.048476513;0.036713008;303.912;0.4439967;v00071s00001_hw00006
19.377.657;0.09737516;0.053745568;0.027401274;32.899.349;0.55856955;v00072s00001_hw00006
18.934.143;0.09514645;0.04851196;0.030993681;31.775.742;0.5209655;v00073s00001_hw00006
18.799.507;0.09446988;0.05543987;0.02874705;31.636.295;0.5119033;v00074s00001_hw00006
1.535.442;0.077157885;0.03965767;0.043626316;3.041.791;0.4025884;v00075s00001_hw00006
15.949.057;0.080146015;0.045460187;0.0378621;3.144.345;0.40070918;v00076s00001_hw00006
16.403.875;0.08243153;0.048659407;0.034023397;30.888.765;0.44590896;v00077s00001_hw00006
15.127.467;0.076017424;0.044681717;0.040912036;3.087.015;0.42082107;v00078s00001_hw00006
16.298.502;0.08190202;0.04638743;0.035102498;29.898.436;0.42450896;v00079s00001_hw00006
184.775;0.092851765;0.05418773;0.030076474;3.226.371;0.43836498;v00080s00001_hw00006
16.279.034;0.081804186;0.04700458;0.036449622;31.704.273;0.46040165;v00081s00001_hw00006
16.504.728;0.082938336;0.04681356;0.035162304;30.835.385;0.39741337;v00082s00001_hw00006
1.963.594;0.09867307;0.050350823;0.02845879;31.846.151;0.50945187;v00083s00001_hw00006
16.867.788;0.08476275;0.0471158;0.03732661;31.143.289;0.44572818;v00084s00001_hw00006
1.580.952;0.079444826;0.040401354;0.04168616;3.166.071;0.4298962;v00085s00001_hw00006
19.840.712;0.09970207;0.058460508;0.026777111;31.811.366;0.559926;v00086s00001_hw00006
16.493.591;0.08288237;0.04627478;0.035085786;31.347.175;0.4210262;v00087s00001_hw00006
14.603.833;0.073386095;0.038126595;0.04970535;31.588.778;0.45574313;v00088s00001_hw00006
15.407.988;0.077427074;0.04657185;0.03853928;3.017.807;0.41188353;v00089s00001_hw00006
